name,type,start_time,duration,"ack","address","read","data"
"I2C","data",7.32994992,2.24e-05,true,,,0x0A
"I2C","data",7.32997552,2.24e-05,true,,,0x01
"I2C","data",7.33000144,2.224e-05,true,,,0x01
"I2C","data",7.33002704,2.224e-05,true,,,0x1F
"I2C","data",7.3300528,2.24e-05,true,,,0x35
"I2C","data",7.3300784,2.24e-05,true,,,0x0F
"I2C","data",7.330104,2.24e-05,true,,,0x95
"I2C","data",7.33012992,2.224e-05,true,,,0x00
"I2C","data",7.33015552,2.224e-05,true,,,0x14
"I2C","data",7.33018144,2.224e-05,true,,,0x10
"I2C","data",7.33020704,2.224e-05,true,,,0x27
"I2C","data",7.33023264,2.224e-05,true,,,0x00
"I2C","data",7.3302584,2.224e-05,true,,,0x00
"I2C","data",7.330284,2.224e-05,true,,,0xA0
"I2C","data",7.33030992,2.224e-05,true,,,0x25
"I2C","data",7.33033552,2.224e-05,true,,,0x26
"I2C","data",7.33036112,2.224e-05,true,,,0x00
"I2C","data",7.33038688,2.24e-05,true,,,0x40
"I2C","data",7.33041248,2.24e-05,true,,,0x9C
"I2C","data",7.3304384,2.224e-05,true,,,0x00
"I2C","data",7.330464,2.224e-05,true,,,0x00
"I2C","data",7.33048976,2.24e-05,true,,,0x00
"I2C","data",7.33051536,2.24e-05,true,,,0x00
"I2C","data",7.33054128,2.224e-05,true,,,0x00
"I2C","data",7.33056736,2.224e-05,true,,,0x00
"I2C","data",7.33059296,2.224e-05,true,,,0x08
"I2C","data",7.33061856,2.224e-05,true,,,0x0B
"I2C","data",7.33064448,2.224e-05,true,,,0x08
"I2C","data",7.33067008,2.224e-05,true,,,0x07
"I2C","data",7.33069584,2.24e-05,true,,,0x00
"I2C","data",7.33072144,2.24e-05,true,,,0x0F
"I2C","data",7.33074704,2.24e-05,true,,,0x16
"I2C","data",7.33077296,2.224e-05,true,,,0x00
"I2C","data",7.33079856,2.224e-05,true,,,0x0A
"I2C","data",7.33082432,2.24e-05,true,,,0x0A
"I2C","data",7.33084992,2.24e-05,true,,,0x38
"I2C","data",7.33087552,2.24e-05,true,,,0x30
"I2C","data",7.33090144,2.224e-05,true,,,0xCD
"I2C","data",7.33092704,2.224e-05,true,,,0x00
"I2C","data",7.33095296,2.224e-05,true,,,0x00
"I2C","data",7.33097856,2.224e-05,true,,,0x00
"I2C","data",7.33100416,2.224e-05,true,,,0x0F
"I2C","data",7.33102992,2.224e-05,true,,,0x00
"I2C","data",7.33105552,2.224e-05,true,,,0x00
"I2C","data",7.33108144,2.224e-05,true,,,0x03
"I2C","data",7.33110704,2.224e-05,true,,,0x0F
"I2C","data",7.33113264,2.224e-05,true,,,0x17
"I2C","data",7.3311584,2.24e-05,true,,,0x00
"I2C","data",7.331184,2.24e-05,true,,,0x0A
"I2C","data",7.33120992,2.224e-05,true,,,0x08
"I2C","data",7.33123552,2.224e-05,true,,,0x04
"I2C","data",7.33126112,2.224e-05,true,,,0x00
"I2C","data",7.33128688,2.24e-05,true,,,0x02
"I2C","data",7.33131248,2.24e-05,true,,,0x00
"I2C","data",7.3313384,2.224e-05,true,,,0x00
"I2C","data",7.331364,2.224e-05,true,,,0x00
"I2C","data",7.3313896,2.224e-05,true,,,0x00
"I2C","data",7.33141552,2.224e-05,true,,,0x00
"I2C","data",7.33144128,2.224e-05,true,,,0x00
"I2C","data",7.3314672,2.224e-05,true,,,0x00
"I2C","data",7.33149328,2.224e-05,true,,,0x0F
"I2C","data",7.33151888,2.224e-05,true,,,0x23
"I2C","data",7.33154448,2.224e-05,true,,,0x00
"I2C","data",7.33157024,2.24e-05,true,,,0x03
"I2C","data",7.33159584,2.24e-05,true,,,0x00
